Hours working per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system?,self-learning capability?,Extra-courses did,certifications,workshops,talenttests taken?,olympiads,reading and writing skills,memory capability score,Interested subjects,interested career area,Job/Higher Studies?,Type of company want to settle in?,Taken inputs from seniors or elders,interested in games,Interested Type of Books,Salary Range Expected,In a Realtionship?,Gentle or Tuff behaviour?,Management or Technical,Salary/work,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
6,5,4,6,3,yes,no,yes,python,data science,yes,no,medium,medium,parallel computing,developer,higherstudies,Web Services,yes,no,Series,salary,yes,stubborn,Technical,work,hard worker,yes,yes,Information Technology
4,9,2,3,1,no,yes,yes,machine learning,data science,yes,no,medium,excellent,Computer Architecture,developer,higherstudies,Cloud Services,no,no,Encyclopedias,salary,no,gentle,Management,work,hard worker,no,no,Information Technology
8,4,0,2,1,no,yes,no,distro making,web technologies,yes,no,excellent,excellent,Computer Scienceing,developer,job,Finance,no,no,Art,Work,no,gentle,Management,salary,smart worker,no,yes,Networking
5,7,0,2,5,no,yes,no,shell programming,system designing,yes,yes,medium,excellent,IOT,cloud computing,higherstudies,Service Based,no,no,Autobiographies,Work,yes,gentle,Technical,salary,hard worker,no,no,Networking
4,8,0,2,2,no,yes,no,app development,database security,no,no,medium,excellent,hacking,testing,job,Cloud Services,no,yes,Satire,Work,no,gentle,Technical,salary,smart worker,no,no,Database
11,6,2,2,1,no,no,no,hadoop,cloud computing,no,no,medium,excellent,parallel computing,cloud computing,job,Cloud Services,no,no,Childrens,salary,yes,gentle,Management,work,hard worker,yes,yes,Analytics
4,6,3,1,3,yes,no,no,distro making,system designing,yes,no,excellent,medium,hacking,security,job,SAaS services,no,no,Romance,salary,yes,stubborn,Management,salary,smart worker,no,yes,Management
7,9,5,6,9,no,no,no,distro making,hacking,no,no,poor,poor,networks,testing,job,Product based,yes,yes,Self help,Work,no,stubborn,Technical,salary,smart worker,yes,no,Computer Science
6,6,4,7,1,no,no,no,r programming,hacking,yes,no,medium,excellent,cloud computing,Business process analyst,higherstudies,SAaS services,yes,yes,Drama,Work,yes,gentle,Technical,salary,hard worker,no,yes,Database
4,2,0,7,6,yes,yes,yes,information security,system designing,no,no,medium,poor,Computer Scienceing,developer,higherstudies,Service Based,no,yes,Series,Work,yes,gentle,Technical,salary,hard worker,yes,yes,Analytics
12,2,4,3,5,yes,yes,yes,full stack,game development,yes,no,excellent,poor,IOT,system developer,job,Service Based,yes,yes,Dictionaries,Work,no,gentle,Management,salary,smart worker,yes,yes,Computer Science
9,7,5,6,1,yes,no,yes,app development,data science,yes,no,excellent,medium,Management,cloud computing,job,Product based,no,no,Poetry,Work,yes,stubborn,Technical,work,smart worker,no,no,Database
8,9,5,3,3,yes,yes,no,python,testing,no,yes,excellent,poor,IOT,Business process analyst,higherstudies,Sales and Marketing,yes,yes,Autobiographies,salary,yes,gentle,Management,work,smart worker,no,yes,Information Technology
5,4,1,4,1,no,no,yes,machine learning,web technologies,yes,yes,poor,poor,data engineering,testing,higherstudies,Product based,yes,no,Series,salary,no,gentle,Technical,salary,smart worker,yes,yes,Networking
4,4,5,9,5,yes,no,yes,full stack,web technologies,no,no,medium,medium,IOT,cloud computing,higherstudies,Testing and Maintainance Services,yes,no,Art,Work,no,stubborn,Management,salary,smart worker,yes,yes,Computer Science
4,8,6,3,5,yes,no,no,shell programming,cloud computing,no,no,medium,excellent,networks,system developer,job,Cloud Services,no,no,Comics,Work,no,gentle,Technical,salary,smart worker,yes,yes,Computer Science
9,9,4,2,9,no,yes,no,r programming,web technologies,no,no,excellent,poor,cloud computing,security,job,SAaS services,no,no,Religion-Spirituality,Work,no,stubborn,Technical,work,smart worker,yes,no,Computer Science
12,5,3,7,5,yes,no,no,distro making,database security,no,yes,poor,poor,programming,security,job,BPA,yes,yes,Guide,Work,no,stubborn,Management,work,smart worker,yes,no,Information Technology
6,8,1,1,7,yes,no,yes,distro making,hacking,no,yes,poor,poor,Computer Scienceing,cloud computing,job,Product based,yes,yes,Biographies,Work,no,stubborn,Technical,work,smart worker,no,no,Analytics
8,1,6,4,2,yes,yes,yes,shell programming,web technologies,no,no,excellent,excellent,Computer Architecture,system developer,job,Cloud Services,yes,no,Self help,salary,yes,stubborn,Management,work,hard worker,yes,yes,Computer Science
6,3,1,3,7,no,no,yes,shell programming,hacking,no,yes,excellent,excellent,programming,developer,job,BPA,yes,yes,Poetry,salary,no,stubborn,Management,salary,hard worker,yes,no,Database
8,2,4,9,9,no,no,no,distro making,cloud computing,no,no,medium,medium,Computer Architecture,cloud computing,higherstudies,Web Services,yes,no,Series,salary,no,gentle,Technical,salary,hard worker,yes,no,Computer Science
8,7,6,5,9,yes,no,yes,full stack,database security,yes,yes,poor,excellent,parallel computing,cloud computing,job,SAaS services,no,yes,Dictionaries,Work,yes,stubborn,Management,work,smart worker,no,no,Analytics
10,9,3,2,3,yes,no,yes,python,cloud computing,no,yes,excellent,excellent,Computer Architecture,system developer,higherstudies,Product based,yes,no,History,salary,no,stubborn,Technical,salary,hard worker,no,no,Networking
5,3,5,1,9,no,no,no,information security,database security,no,no,poor,medium,networks,security,job,Finance,yes,yes,Guide,salary,no,gentle,Management,work,hard worker,no,no,Networking
10,5,4,3,9,no,no,yes,distro making,database security,yes,yes,poor,poor,Management,testing,higherstudies,product development,no,no,Guide,Work,no,stubborn,Management,salary,hard worker,yes,no,Computer Science
4,6,3,5,3,no,no,yes,app development,database security,no,yes,excellent,medium,Management,cloud computing,job,SAaS services,no,yes,History,salary,yes,gentle,Management,salary,hard worker,no,no,Database
8,2,2,9,3,yes,no,no,r programming,hacking,no,yes,excellent,poor,Computer Architecture,system developer,job,Product based,no,yes,Diaries,salary,no,gentle,Technical,salary,hard worker,no,yes,Information Technology
12,2,6,5,2,yes,yes,no,full stack,hacking,yes,yes,excellent,medium,parallel computing,developer,job,Testing and Maintainance Services,yes,yes,Diaries,Work,yes,stubborn,Management,salary,hard worker,yes,no,Analytics
11,7,0,1,7,yes,yes,yes,information security,database security,yes,no,excellent,poor,Computer Architecture,system developer,higherstudies,BPA,no,yes,Mystery,Work,yes,stubborn,Technical,salary,smart worker,yes,no,Analytics
4,2,1,9,7,yes,yes,yes,app development,data science,no,yes,medium,poor,Computer Architecture,testing,job,product development,no,yes,Biographies,salary,no,gentle,Technical,salary,hard worker,no,yes,Computer Science
11,4,6,6,3,no,no,yes,machine learning,data science,no,yes,poor,medium,data engineering,testing,higherstudies,Finance,yes,no,Satire,Work,yes,stubborn,Technical,salary,smart worker,no,yes,Design
11,1,3,6,1,no,no,no,hadoop,game development,no,no,poor,excellent,hacking,cloud computing,higherstudies,product development,no,yes,Autobiographies,salary,yes,stubborn,Management,work,smart worker,yes,yes,Design
12,2,2,5,1,no,no,yes,distro making,web technologies,yes,yes,medium,medium,parallel computing,developer,higherstudies,Finance,no,no,Childrens,salary,no,gentle,Technical,salary,hard worker,yes,no,Computer Science
12,4,4,7,6,no,no,no,hadoop,web technologies,yes,yes,excellent,medium,Computer Scienceing,cloud computing,job,Finance,yes,yes,Math,salary,no,stubborn,Technical,work,hard worker,yes,yes,Computer Science
7,4,2,9,3,yes,no,no,hadoop,web technologies,yes,yes,excellent,poor,parallel computing,security,higherstudies,Finance,no,yes,Guide,Work,no,gentle,Technical,salary,hard worker,yes,yes,Database
6,1,5,5,6,no,no,yes,full stack,testing,yes,yes,poor,poor,parallel computing,security,job,Cloud Services,no,yes,Journals,Work,yes,stubborn,Technical,salary,hard worker,no,yes,Management
6,1,4,1,4,yes,yes,yes,full stack,web technologies,yes,yes,medium,medium,Computer Architecture,system developer,job,Web Services,no,no,Dictionaries,salary,no,stubborn,Technical,work,hard worker,no,no,Analytics
8,7,5,7,1,no,no,yes,distro making,database security,yes,no,excellent,poor,networks,Business process analyst,job,Testing and Maintainance Services,no,no,Diaries,salary,no,stubborn,Technical,salary,smart worker,no,yes,Networking
7,3,0,3,4,yes,no,no,information security,system designing,no,no,medium,medium,programming,testing,higherstudies,Web Services,yes,yes,Art,salary,no,gentle,Management,salary,smart worker,yes,no,Computer Science
4,7,0,5,2,no,no,no,information security,testing,no,no,poor,excellent,hacking,cloud computing,higherstudies,product development,no,no,Comics,salary,yes,stubborn,Management,salary,smart worker,yes,yes,Computer Science
5,3,0,5,1,no,no,no,full stack,database security,no,yes,excellent,poor,Management,system developer,higherstudies,Web Services,yes,no,Guide,Work,yes,gentle,Management,salary,hard worker,no,yes,Computer Science
4,7,1,3,5,no,no,yes,information security,system designing,yes,no,excellent,excellent,Computer Architecture,testing,job,Web Services,no,no,Dictionaries,salary,no,gentle,Technical,salary,smart worker,yes,no,Analytics
5,9,0,8,9,no,yes,yes,shell programming,database security,yes,yes,poor,excellent,networks,developer,higherstudies,product development,no,yes,Satire,Work,no,gentle,Technical,salary,smart worker,yes,no,Database
7,6,4,9,2,no,no,yes,information security,web technologies,no,yes,excellent,excellent,Computer Architecture,system developer,job,Testing and Maintainance Services,no,yes,Self help,Work,yes,gentle,Technical,work,smart worker,yes,yes,Networking
8,1,1,9,2,yes,no,no,machine learning,cloud computing,yes,no,medium,medium,Computer Scienceing,system developer,higherstudies,SAaS services,yes,yes,Encyclopedias,Work,yes,gentle,Management,work,hard worker,no,no,Analytics
8,6,4,1,5,yes,yes,no,machine learning,database security,yes,no,medium,excellent,hacking,Business process analyst,higherstudies,Web Services,yes,yes,Self help,Work,yes,gentle,Management,salary,smart worker,no,no,Analytics
8,2,1,7,1,yes,no,yes,python,data science,no,no,medium,poor,data engineering,security,higherstudies,SAaS services,no,yes,Art,salary,yes,stubborn,Management,work,smart worker,yes,yes,Database
7,3,0,6,7,no,no,no,distro making,database security,no,no,excellent,medium,Management,security,job,Product based,no,yes,Self help,Work,yes,stubborn,Technical,work,smart worker,yes,yes,Database
5,3,5,9,9,yes,yes,no,shell programming,web technologies,no,yes,medium,medium,Computer Scienceing,developer,job,SAaS services,yes,no,Childrens,Work,yes,stubborn,Technical,work,smart worker,no,no,Management
9,4,5,3,6,no,yes,no,python,testing,yes,no,poor,poor,IOT,system developer,higherstudies,Web Services,no,yes,Science,salary,no,gentle,Technical,salary,hard worker,yes,yes,Management
12,4,1,8,8,yes,yes,yes,hadoop,game development,yes,yes,excellent,excellent,Management,testing,higherstudies,Service Based,no,no,Poetry,Work,no,gentle,Management,salary,smart worker,yes,no,Analytics
10,7,0,4,3,no,yes,yes,python,system designing,no,no,poor,poor,programming,Business process analyst,job,Sales and Marketing,yes,yes,Poetry,salary,yes,gentle,Technical,salary,smart worker,no,no,Analytics
11,3,1,2,1,no,yes,yes,shell programming,web technologies,no,yes,excellent,medium,IOT,developer,job,Finance,yes,yes,Mystery,salary,no,gentle,Management,work,hard worker,yes,yes,Design
12,1,3,9,5,yes,no,no,app development,testing,no,yes,medium,medium,data engineering,security,higherstudies,Testing and Maintainance Services,no,yes,Journals,salary,yes,gentle,Technical,work,hard worker,no,yes,Analytics
7,5,4,3,2,yes,no,no,distro making,system designing,no,yes,excellent,poor,parallel computing,Business process analyst,higherstudies,Finance,no,no,Science,Work,yes,stubborn,Management,work,hard worker,yes,no,Computer Science
5,3,2,7,4,yes,no,yes,information security,database security,yes,no,excellent,medium,programming,testing,job,Web Services,no,yes,Cookbooks,salary,no,stubborn,Technical,work,hard worker,no,yes,Computer Science
12,3,1,4,3,no,yes,no,distro making,system designing,yes,no,excellent,poor,IOT,developer,job,BPA,yes,no,Prayer books,salary,yes,gentle,Technical,work,hard worker,no,yes,Design
9,3,3,8,6,no,no,no,hadoop,game development,no,no,excellent,excellent,networks,testing,job,SAaS services,no,yes,Comics,Work,yes,stubborn,Technical,work,hard worker,no,no,Management
4,7,2,6,3,no,yes,no,app development,web technologies,yes,no,poor,excellent,cloud computing,developer,higherstudies,Testing and Maintainance Services,yes,yes,Journals,Work,no,gentle,Technical,salary,hard worker,no,yes,Database
9,1,2,3,9,yes,no,yes,distro making,hacking,no,no,excellent,excellent,Management,developer,job,Testing and Maintainance Services,no,yes,Poetry,salary,yes,stubborn,Management,work,smart worker,no,yes,Analytics
12,2,5,7,1,no,no,no,hadoop,database security,yes,no,poor,medium,cloud computing,system developer,higherstudies,Web Services,yes,yes,Health,salary,no,stubborn,Management,work,hard worker,yes,no,Computer Science
12,3,5,5,4,no,yes,yes,r programming,system designing,yes,no,excellent,poor,cloud computing,testing,higherstudies,Cloud Services,no,yes,Religion-Spirituality,Work,yes,gentle,Technical,salary,hard worker,no,yes,Computer Science
9,3,2,9,1,no,yes,no,r programming,data science,yes,yes,medium,excellent,Computer Architecture,cloud computing,job,BPA,no,no,Mystery,Work,no,gentle,Management,work,hard worker,yes,no,Information Technology
5,6,0,6,5,yes,no,no,python,database security,yes,yes,excellent,medium,programming,security,job,product development,no,yes,Biographies,salary,yes,stubborn,Management,work,hard worker,yes,yes,Analytics
10,5,1,7,1,yes,yes,yes,full stack,hacking,no,no,excellent,medium,networks,cloud computing,job,Testing and Maintainance Services,no,no,Travel,Work,no,gentle,Technical,salary,smart worker,yes,no,Management
12,2,2,8,4,no,no,no,machine learning,testing,yes,yes,excellent,excellent,data engineering,developer,job,Product based,no,yes,Self help,Work,no,stubborn,Management,work,hard worker,yes,no,Computer Science
9,1,6,2,8,yes,yes,yes,shell programming,data science,no,no,medium,medium,Computer Scienceing,security,job,Service Based,yes,yes,Autobiographies,salary,no,gentle,Technical,work,smart worker,no,yes,Analytics
4,8,5,4,2,no,yes,yes,distro making,data science,no,yes,poor,poor,parallel computing,developer,higherstudies,Cloud Services,no,yes,Anthology,salary,yes,gentle,Technical,salary,hard worker,no,yes,Management
7,1,3,9,2,no,yes,yes,app development,cloud computing,no,no,poor,medium,Management,system developer,higherstudies,Sales and Marketing,no,no,Mystery,salary,no,stubborn,Technical,salary,hard worker,yes,yes,Analytics
10,3,5,5,4,yes,no,yes,hadoop,game development,no,yes,poor,medium,Management,Business process analyst,job,Sales and Marketing,yes,no,Satire,Work,no,gentle,Technical,salary,hard worker,yes,no,Computer Science
11,3,6,1,5,no,no,yes,app development,database security,yes,no,excellent,poor,networks,testing,job,Testing and Maintainance Services,no,yes,Self help,salary,no,stubborn,Technical,work,smart worker,no,no,Computer Science
10,2,5,2,2,no,no,yes,machine learning,hacking,yes,no,poor,medium,Management,testing,higherstudies,Testing and Maintainance Services,no,yes,Diaries,salary,no,gentle,Technical,salary,smart worker,yes,no,Computer Science
10,2,1,7,8,yes,no,yes,python,data science,no,yes,poor,excellent,networks,developer,higherstudies,Product based,no,yes,Health,salary,no,stubborn,Technical,salary,hard worker,yes,no,Networking
10,2,5,5,8,no,no,no,shell programming,database security,yes,yes,excellent,medium,Computer Scienceing,developer,higherstudies,Service Based,yes,yes,Travel,Work,yes,gentle,Technical,work,hard worker,yes,no,Computer Science
4,1,5,5,9,yes,yes,no,machine learning,database security,yes,yes,excellent,excellent,cloud computing,Business process analyst,job,Service Based,no,yes,Guide,salary,no,stubborn,Management,salary,smart worker,yes,yes,Management
7,9,6,8,7,yes,yes,yes,hadoop,game development,yes,no,excellent,poor,hacking,cloud computing,job,Testing and Maintainance Services,no,no,Encyclopedias,Work,yes,gentle,Technical,work,hard worker,no,yes,Management
12,3,3,1,5,no,yes,yes,python,testing,yes,no,excellent,poor,cloud computing,security,higherstudies,BPA,yes,no,Health,salary,yes,stubborn,Management,salary,smart worker,yes,no,Analytics
5,8,2,9,4,yes,no,yes,r programming,game development,no,no,medium,excellent,cloud computing,developer,job,Cloud Services,yes,yes,Encyclopedias,Work,no,stubborn,Technical,work,hard worker,yes,no,Computer Science
8,5,0,9,8,no,yes,yes,hadoop,database security,yes,yes,excellent,poor,data engineering,cloud computing,higherstudies,Service Based,yes,yes,Romance,Work,yes,stubborn,Technical,work,smart worker,yes,no,Database
8,9,4,2,1,no,no,no,app development,web technologies,no,yes,poor,excellent,Management,testing,job,BPA,no,yes,Self help,Work,yes,stubborn,Technical,work,hard worker,yes,yes,Computer Science
9,9,0,1,6,yes,no,yes,machine learning,data science,no,no,excellent,excellent,cloud computing,developer,higherstudies,Testing and Maintainance Services,yes,no,Travel,salary,yes,gentle,Management,salary,smart worker,yes,yes,Analytics
7,1,2,3,5,no,yes,no,app development,hacking,no,yes,poor,excellent,programming,Business process analyst,job,SAaS services,no,no,Autobiographies,Work,yes,stubborn,Technical,work,hard worker,yes,no,Information Technology
9,4,1,4,9,yes,no,no,machine learning,game development,no,yes,excellent,poor,IOT,cloud computing,higherstudies,Testing and Maintainance Services,yes,no,Math,salary,no,gentle,Technical,work,hard worker,yes,yes,Information Technology
12,4,3,7,7,yes,yes,yes,machine learning,database security,yes,yes,medium,poor,cloud computing,cloud computing,job,Web Services,no,yes,Science,Work,no,stubborn,Technical,work,smart worker,no,yes,Information Technology
4,5,6,4,1,no,yes,no,app development,game development,no,no,poor,excellent,networks,security,higherstudies,Cloud Services,yes,no,Self help,salary,yes,stubborn,Management,work,smart worker,no,no,Computer Science
8,1,4,2,1,no,yes,yes,information security,database security,yes,yes,excellent,poor,parallel computing,Business process analyst,job,Web Services,yes,no,Diaries,salary,no,stubborn,Management,work,hard worker,yes,yes,Networking
12,6,1,4,2,no,no,yes,machine learning,hacking,no,no,poor,excellent,Computer Scienceing,Business process analyst,job,Cloud Services,yes,yes,Mystery,salary,no,stubborn,Technical,salary,hard worker,no,yes,Computer Science
7,4,2,5,8,no,no,no,machine learning,system designing,no,yes,poor,medium,Computer Scienceing,system developer,higherstudies,Cloud Services,no,yes,Action and Adventure,Work,no,stubborn,Technical,salary,hard worker,no,no,Analytics
10,4,1,1,4,yes,no,yes,machine learning,database security,yes,no,excellent,poor,Computer Scienceing,Business process analyst,higherstudies,Service Based,yes,yes,Series,Work,no,gentle,Management,work,hard worker,no,no,Database
12,4,2,2,8,yes,yes,no,full stack,cloud computing,yes,no,excellent,excellent,parallel computing,developer,higherstudies,Finance,yes,yes,Prayer books,Work,yes,stubborn,Management,work,hard worker,no,yes,Management
12,3,4,3,3,yes,yes,no,app development,cloud computing,no,yes,medium,excellent,Computer Architecture,cloud computing,job,Sales and Marketing,yes,no,Guide,Work,no,stubborn,Technical,work,hard worker,no,no,Information Technology
4,7,2,8,9,yes,yes,yes,full stack,testing,no,yes,excellent,excellent,data engineering,developer,job,product development,yes,no,Poetry,salary,no,gentle,Management,work,smart worker,yes,no,Database
4,5,2,8,9,yes,yes,no,shell programming,database security,yes,yes,excellent,medium,IOT,testing,job,SAaS services,no,no,Anthology,salary,no,stubborn,Management,salary,hard worker,yes,no,Management
7,2,3,3,5,no,no,no,full stack,testing,yes,no,poor,medium,Computer Scienceing,security,job,Web Services,no,yes,Encyclopedias,Work,no,stubborn,Technical,salary,smart worker,no,yes,Analytics
11,3,0,7,9,yes,yes,no,r programming,system designing,yes,no,medium,excellent,Management,system developer,higherstudies,BPA,yes,no,Math,Work,no,gentle,Management,work,smart worker,yes,yes,Analytics
10,9,6,9,9,no,no,yes,python,database security,yes,no,medium,poor,IOT,cloud computing,job,Service Based,yes,no,Horror,salary,yes,gentle,Technical,salary,smart worker,no,yes,Analytics
5,2,6,6,6,yes,yes,yes,r programming,database security,yes,yes,excellent,poor,IOT,system developer,job,Service Based,yes,yes,Cookbooks,Work,no,stubborn,Management,work,smart worker,yes,no,Information Technology
11,7,5,7,7,yes,yes,no,information security,testing,no,yes,medium,poor,programming,system developer,higherstudies,Cloud Services,yes,yes,Guide,Work,no,gentle,Management,salary,smart worker,no,yes,Database
7,5,2,5,5,no,yes,yes,full stack,database security,no,no,poor,poor,IOT,security,higherstudies,SAaS services,no,yes,Self help,Work,no,gentle,Management,salary,hard worker,yes,no,Analytics
6,9,2,1,2,yes,yes,yes,shell programming,testing,no,no,medium,medium,parallel computing,system developer,job,Sales and Marketing,no,no,Guide,salary,no,gentle,Technical,work,smart worker,yes,no,Networking
8,2,0,8,5,yes,no,no,full stack,cloud computing,yes,no,excellent,poor,Computer Scienceing,testing,higherstudies,Cloud Services,no,no,Poetry,salary,yes,gentle,Technical,salary,smart worker,no,yes,Management
9,7,0,8,2,yes,no,yes,r programming,system designing,yes,no,poor,poor,IOT,developer,higherstudies,BPA,yes,yes,Journals,Work,yes,stubborn,Management,salary,smart worker,yes,yes,Analytics
6,9,0,3,4,no,no,no,machine learning,web technologies,no,yes,poor,medium,programming,system developer,higherstudies,Product based,no,no,Science fiction,Work,yes,gentle,Technical,work,smart worker,no,yes,Computer Science
7,2,0,9,1,yes,yes,no,r programming,testing,yes,no,medium,excellent,programming,developer,job,SAaS services,no,no,Self help,Work,yes,stubborn,Technical,salary,hard worker,no,no,Computer Science
4,9,4,5,1,yes,yes,yes,r programming,system designing,no,yes,excellent,poor,programming,testing,higherstudies,Service Based,no,yes,Travel,salary,yes,gentle,Technical,work,smart worker,no,yes,Computer Science
7,8,3,8,2,no,no,yes,distro making,game development,yes,yes,medium,poor,parallel computing,Business process analyst,job,Testing and Maintainance Services,yes,yes,Cookbooks,salary,no,stubborn,Management,salary,smart worker,no,yes,Management
8,8,3,5,2,yes,no,yes,app development,cloud computing,yes,yes,medium,medium,Computer Scienceing,system developer,job,Testing and Maintainance Services,no,no,Poetry,salary,yes,gentle,Management,work,hard worker,yes,yes,Information Technology
6,5,3,2,1,no,no,no,shell programming,testing,yes,yes,excellent,poor,Computer Architecture,Business process analyst,higherstudies,Cloud Services,yes,no,Self help,salary,yes,stubborn,Management,work,hard worker,yes,yes,Analytics
5,4,6,8,3,yes,yes,yes,full stack,database security,no,yes,poor,excellent,hacking,testing,higherstudies,Service Based,yes,yes,Science fiction,salary,yes,stubborn,Technical,work,hard worker,no,no,Networking
9,9,2,1,9,yes,no,yes,app development,cloud computing,no,no,poor,excellent,parallel computing,developer,job,Finance,no,no,Self help,salary,no,stubborn,Management,salary,smart worker,no,yes,Analytics
4,6,6,7,5,no,yes,no,distro making,testing,no,no,excellent,excellent,IOT,developer,higherstudies,SAaS services,yes,no,Comics,salary,no,stubborn,Management,work,hard worker,yes,no,Computer Science
12,6,2,1,5,yes,yes,no,distro making,testing,yes,no,medium,excellent,programming,security,job,product development,no,yes,Drama,Work,yes,gentle,Management,salary,hard worker,no,yes,Analytics
8,2,5,2,8,yes,no,yes,shell programming,testing,no,yes,excellent,medium,cloud computing,system developer,job,BPA,no,no,Anthology,salary,yes,stubborn,Management,salary,hard worker,yes,no,Information Technology
10,9,0,2,6,yes,no,yes,shell programming,system designing,no,no,excellent,excellent,Computer Scienceing,Business process analyst,higherstudies,Web Services,yes,no,Art,salary,yes,stubborn,Management,salary,hard worker,yes,no,Management
10,2,4,9,9,yes,no,yes,shell programming,cloud computing,no,no,poor,medium,cloud computing,Business process analyst,higherstudies,Cloud Services,yes,no,Anthology,Work,yes,gentle,Management,work,hard worker,no,yes,Networking
8,6,0,7,6,yes,yes,no,information security,system designing,no,no,medium,excellent,parallel computing,testing,job,Cloud Services,yes,yes,Horror,salary,no,gentle,Management,work,smart worker,no,yes,Management
8,1,3,7,3,yes,yes,no,machine learning,web technologies,no,no,poor,excellent,programming,cloud computing,job,BPA,yes,no,Science,salary,yes,gentle,Management,salary,hard worker,no,yes,Computer Science
9,9,1,4,9,no,yes,no,machine learning,data science,no,no,excellent,medium,hacking,security,higherstudies,Web Services,yes,yes,Dictionaries,Work,no,stubborn,Technical,salary,smart worker,yes,no,Computer Science
12,3,1,4,2,yes,yes,no,distro making,data science,no,no,excellent,medium,hacking,developer,higherstudies,Web Services,yes,no,Satire,Work,no,gentle,Technical,work,smart worker,no,yes,Database
7,4,5,4,6,no,yes,no,python,hacking,no,no,excellent,excellent,Management,testing,job,SAaS services,no,yes,Art,salary,yes,stubborn,Technical,work,smart worker,yes,yes,Computer Science
7,4,0,8,8,no,yes,yes,r programming,testing,yes,no,poor,poor,parallel computing,security,higherstudies,Finance,yes,no,Dictionaries,salary,no,stubborn,Management,work,hard worker,no,yes,Information Technology
9,5,0,4,7,no,no,no,distro making,database security,no,no,medium,poor,IOT,developer,higherstudies,BPA,yes,no,Trilogy,salary,yes,stubborn,Technical,work,smart worker,yes,no,Analytics
8,7,4,4,1,no,no,yes,information security,web technologies,yes,yes,medium,medium,IOT,testing,job,Cloud Services,no,yes,Trilogy,salary,no,stubborn,Technical,work,hard worker,yes,yes,Analytics
9,2,0,3,8,no,yes,no,hadoop,system designing,yes,yes,medium,poor,networks,testing,higherstudies,Finance,no,yes,Comics,salary,yes,stubborn,Management,work,hard worker,no,no,Design
8,1,1,9,1,no,yes,yes,app development,cloud computing,no,no,excellent,poor,Computer Scienceing,developer,job,SAaS services,no,no,Fantasy,Work,yes,stubborn,Technical,work,smart worker,yes,yes,Database
4,1,3,9,1,yes,no,no,full stack,testing,no,yes,excellent,excellent,cloud computing,security,higherstudies,Product based,no,no,Science fiction,Work,yes,stubborn,Management,salary,hard worker,yes,yes,Information Technology
11,5,3,8,8,no,no,no,app development,database security,no,no,excellent,medium,IOT,security,job,product development,yes,yes,Health,Work,no,stubborn,Technical,work,hard worker,yes,yes,Database
11,5,2,9,2,yes,yes,no,machine learning,game development,no,no,poor,excellent,data engineering,system developer,higherstudies,Cloud Services,yes,no,Childrens,Work,no,stubborn,Management,work,hard worker,yes,no,Networking
5,9,0,4,1,no,no,yes,python,web technologies,yes,no,poor,poor,networks,cloud computing,higherstudies,product development,yes,yes,Prayer books,salary,no,gentle,Technical,work,hard worker,yes,no,Computer Science
11,7,4,1,7,no,no,no,app development,system designing,yes,yes,medium,medium,cloud computing,security,higherstudies,Finance,no,yes,Series,Work,no,gentle,Technical,work,hard worker,yes,yes,Networking
10,7,3,3,5,no,yes,no,distro making,hacking,yes,yes,excellent,excellent,Computer Architecture,Business process analyst,higherstudies,Product based,yes,yes,Mystery,salary,yes,stubborn,Technical,salary,smart worker,yes,no,Information Technology
9,5,1,6,7,yes,no,no,app development,hacking,no,yes,medium,poor,cloud computing,cloud computing,job,product development,yes,no,History,salary,no,stubborn,Management,work,smart worker,no,yes,Computer Science
9,1,1,8,9,no,no,no,python,testing,no,no,medium,medium,programming,testing,higherstudies,BPA,no,no,Drama,salary,yes,stubborn,Technical,work,hard worker,no,yes,Computer Science
6,5,3,3,9,yes,no,no,distro making,game development,yes,no,excellent,poor,networks,testing,higherstudies,product development,yes,yes,Guide,salary,yes,stubborn,Technical,salary,smart worker,no,yes,Information Technology
6,6,6,6,3,yes,no,yes,r programming,testing,yes,yes,poor,excellent,programming,security,higherstudies,Testing and Maintainance Services,no,yes,Drama,salary,no,stubborn,Management,salary,smart worker,no,yes,Networking
4,6,6,2,1,no,yes,yes,information security,database security,yes,yes,medium,medium,Management,testing,job,Sales and Marketing,yes,no,Travel,Work,yes,gentle,Technical,work,smart worker,no,no,Analytics
8,9,5,5,1,no,yes,yes,full stack,database security,yes,yes,medium,poor,networks,Business process analyst,job,Service Based,yes,no,Religion-Spirituality,salary,no,stubborn,Management,work,hard worker,no,yes,Analytics
8,1,6,1,6,no,yes,no,distro making,testing,no,no,poor,excellent,IOT,developer,higherstudies,Finance,yes,yes,Fantasy,Work,yes,gentle,Management,work,smart worker,no,no,Database
11,6,1,1,3,yes,yes,yes,r programming,data science,yes,yes,poor,medium,Management,developer,job,Service Based,yes,no,Science,Work,yes,gentle,Management,work,hard worker,yes,no,Computer Science
10,9,6,7,2,no,yes,no,distro making,database security,no,yes,medium,medium,data engineering,security,higherstudies,Cloud Services,no,yes,Math,salary,yes,gentle,Management,work,smart worker,yes,yes,Networking
5,5,1,5,7,yes,no,yes,r programming,hacking,yes,yes,medium,medium,programming,security,higherstudies,Service Based,yes,no,Self help,Work,no,gentle,Management,salary,hard worker,yes,yes,Analytics
